Date,HomeTeam,AwayTeam,ScoreDetail,Season,SeasonStart
2025-11-13,Brynäs IF,IF Malmö Redhawks,,2025-26,2025
2025-11-13,Frölunda HC,Örebro HK,,2025-26,2025
2025-11-13,HV 71,Växjö Lakers HC,,2025-26,2025
2025-11-13,Linköping HC,Leksands IF,,2025-26,2025
2025-11-13,Luleå HF,Djurgårdens IF,,2025-26,2025
2025-11-13,Rögle BK,Färjestad BK,,2025-26,2025
2025-11-13,Skellefteå AIK,Timrå IK,,2025-26,2025
2025-11-15,HV 71,Leksands IF,,2025-26,2025
2025-11-15,Luleå HF,Brynäs IF,,2025-26,2025
2025-11-15,Örebro HK,IF Malmö Redhawks,,2025-26,2025
2025-11-15,Skellefteå AIK,Djurgårdens IF,,2025-26,2025
2025-11-15,Färjestad BK,Linköping HC,,2025-26,2025
2025-11-15,Timrå IK,Frölunda HC,,2025-26,2025
2025-11-15,Växjö Lakers HC,Rögle BK,,2025-26,2025
2025-11-20,Brynäs IF,Timrå IK,,2025-26,2025
2025-11-20,Färjestad BK,HV 71,,2025-26,2025
2025-11-20,Frölunda HC,IF Malmö Redhawks,,2025-26,2025
2025-11-20,Leksands IF,Växjö Lakers HC,,2025-26,2025
2025-11-20,Örebro HK,Luleå HF,,2025-26,2025
2025-11-20,Rögle BK,Skellefteå AIK,,2025-26,2025
2025-11-20,Djurgårdens IF,Linköping HC,,2025-26,2025
2025-11-22,HV 71,Luleå HF,,2025-26,2025
2025-11-22,Leksands IF,Frölunda HC,,2025-26,2025
2025-11-22,Örebro HK,Växjö Lakers HC,,2025-26,2025
2025-11-22,Timrå IK,Linköping HC,,2025-26,2025
2025-11-22,Brynäs IF,Rögle BK,,2025-26,2025
2025-11-22,Färjestad BK,Djurgårdens IF,,2025-26,2025
2025-11-22,IF Malmö Redhawks,Skellefteå AIK,,2025-26,2025
2025-11-25,IF Malmö Redhawks,Växjö Lakers HC,,2025-26,2025
2025-11-25,Djurgårdens IF,Färjestad BK,,2025-26,2025
2025-11-27,Färjestad BK,IF Malmö Redhawks,,2025-26,2025
2025-11-27,HV 71,Örebro HK,,2025-26,2025
2025-11-27,Linköping HC,Brynäs IF,,2025-26,2025
2025-11-27,Luleå HF,Leksands IF,,2025-26,2025
2025-11-27,Rögle BK,Djurgårdens IF,,2025-26,2025
2025-11-27,Skellefteå AIK,Frölunda HC,,2025-26,2025
2025-11-27,Växjö Lakers HC,Timrå IK,,2025-26,2025
2025-11-29,Brynäs IF,HV 71,,2025-26,2025
2025-11-29,Linköping HC,Frölunda HC,,2025-26,2025
2025-11-29,IF Malmö Redhawks,Djurgårdens IF,,2025-26,2025
2025-11-29,Skellefteå AIK,Leksands IF,,2025-26,2025
2025-11-29,Örebro HK,Rögle BK,,2025-26,2025
2025-11-29,Timrå IK,Luleå HF,,2025-26,2025
2025-11-29,Växjö Lakers HC,Färjestad BK,,2025-26,2025
2025-12-04,Frölunda HC,Djurgårdens IF,,2025-26,2025
2025-12-04,HV 71,Skellefteå AIK,,2025-26,2025
2025-12-04,Leksands IF,Brynäs IF,,2025-26,2025
2025-12-04,Luleå HF,Växjö Lakers HC,,2025-26,2025
2025-12-04,IF Malmö Redhawks,Linköping HC,,2025-26,2025
2025-12-04,Örebro HK,Färjestad BK,,2025-26,2025
2025-12-04,Rögle BK,Timrå IK,,2025-26,2025
2025-12-06,Frölunda HC,Brynäs IF,,2025-26,2025
2025-12-06,HV 71,IF Malmö Redhawks,,2025-26,2025
2025-12-06,Skellefteå AIK,Växjö Lakers HC,,2025-26,2025
2025-12-06,Luleå HF,Färjestad BK,,2025-26,2025
2025-12-06,Djurgårdens IF,Timrå IK,,2025-26,2025
2025-12-06,Örebro HK,Leksands IF,,2025-26,2025
2025-12-06,Rögle BK,Linköping HC,,2025-26,2025
2025-12-18,Färjestad BK,Örebro HK,,2025-26,2025
