Date,HomeTeam,AwayTeam,FTHG,FTAG
2015-04-04,Hammarby,Hacken,2,0
2015-04-04,Kalmar,Helsingborg,0,0
2015-04-05,Falkenbergs,Gefle,0,2
2015-04-05,Goteborg,Atvidabergs,1,0
2015-04-05,Djurgarden,Elfsborg,1,2
2015-04-05,Norrkoping,Orebro,1,1
2015-04-06,AIK,Halmstad,2,1
2015-04-06,Sundsvall,Malmo FF,1,4
2015-04-08,Gefle,Kalmar,2,0
2015-04-08,Helsingborg,Falkenbergs,0,0
2015-04-08,Orebro,Goteborg,0,2
2015-04-08,Elfsborg,Hammarby,1,1
2015-04-09,Atvidabergs,Sundsvall,2,3
2015-04-09,Hacken,Djurgarden,1,1
2015-04-09,Halmstad,Norrkoping,0,3
2015-04-09,Malmo FF,AIK,0,0
2015-04-12,Falkenbergs,Orebro,2,0
2015-04-12,Halmstad,Helsingborg,1,2
2015-04-12,AIK,Gefle,3,1
2015-04-12,Goteborg,Malmo FF,0,1
2015-04-13,Kalmar,Atvidabergs,2,1
2015-04-13,Norrkoping,Elfsborg,0,4
2015-04-13,Sundsvall,Hacken,1,1
2015-04-13,Hammarby,Djurgarden,2,1
2015-04-17,Djurgarden,Kalmar,1,0
2015-04-18,Gefle,Halmstad,0,0
2015-04-19,Atvidabergs,Falkenbergs,3,1
2015-04-19,Hacken,Goteborg,1,2
2015-04-20,Helsingborg,Norrkoping,3,1
2015-04-20,Orebro,Sundsvall,1,3
2015-04-20,Malmo FF,Hammarby,3,1
2015-04-21,Elfsborg,AIK,3,2
2015-04-24,Falkenbergs,Malmo FF,3,3
2015-04-25,Hammarby,Atvidabergs,2,1
2015-04-26,Halmstad,Elfsborg,1,0
2015-04-26,Sundsvall,Djurgarden,0,2
2015-04-26,AIK,Orebro,3,0
2015-04-26,Kalmar,Hacken,0,1
2015-04-27,Norrkoping,Gefle,4,1
2015-04-27,Goteborg,Helsingborg,3,1
2015-04-29,Djurgarden,Falkenbergs,3,1
2015-04-29,Elfsborg,Kalmar,2,1
2015-04-29,Malmo FF,Halmstad,3,1
2015-04-29,Atvidabergs,AIK,1,1
2015-04-30,Hacken,Norrkoping,0,2
2015-04-30,Gefle,Goteborg,0,0
2015-04-30,Helsingborg,Sundsvall,2,0
2015-04-30,Orebro,Hammarby,2,2
2015-05-03,Norrkoping,Atvidabergs,2,1
2015-05-03,Sundsvall,Elfsborg,0,1
2015-05-03,Djurgarden,Gefle,5,1
2015-05-03,Malmo FF,Helsingborg,3,1
2015-05-04,Goteborg,Falkenbergs,2,1
2015-05-04,Halmstad,Hacken,0,2
2015-05-04,Kalmar,Orebro,3,0
2015-05-04,AIK,Hammarby,2,0
2015-05-08,Kalmar,Goteborg,0,2
2015-05-09,Helsingborg,Gefle,1,2
2015-05-10,Falkenbergs,Halmstad,1,0
2015-05-10,AIK,Norrkoping,2,2
2015-05-10,Hacken,Orebro,2,0
2015-05-11,Atvidabergs,Djurgarden,2,3
2015-05-11,Hammarby,Sundsvall,1,2
2015-05-11,Elfsborg,Malmo FF,2,2
2015-05-18,Halmstad,Djurgarden,2,3
2015-05-19,Falkenbergs,Kalmar,1,3
2015-05-20,Elfsborg,Helsingborg,2,1
2015-05-20,Norrkoping,Hammarby,1,0
2015-05-20,Orebro,Atvidabergs,2,1
2015-05-20,Gefle,Sundsvall,3,1
2015-05-21,Malmo FF,Hacken,0,3
2015-05-21,Goteborg,AIK,3,0
2015-05-24,Halmstad,Goteborg,1,2
2015-05-24,Orebro,Gefle,1,0
2015-05-24,Atvidabergs,Elfsborg,1,2
2015-05-24,Kalmar,Malmo FF,2,1
2015-05-25,Hacken,Falkenbergs,0,2
2015-05-25,Helsingborg,Hammarby,1,0
2015-05-25,Sundsvall,Norrkoping,0,1
2015-05-25,Djurgarden,AIK,2,2
2015-05-29,Gefle,Hacken,2,0
2015-05-30,Falkenbergs,Sundsvall,1,1
2015-05-30,Hammarby,Halmstad,2,2
2015-05-30,Norrkoping,Kalmar,2,1
2015-05-31,AIK,Helsingborg,3,1
2015-05-31,Elfsborg,Orebro,2,2
2015-05-31,Malmo FF,Atvidabergs,3,0
2015-06-01,Goteborg,Djurgarden,0,0
2015-06-03,AIK,Falkenbergs,4,3
2015-06-03,Atvidabergs,Hacken,1,1
2015-06-03,Halmstad,Sundsvall,1,0
2015-06-03,Orebro,Helsingborg,0,0
2015-06-03,Gefle,Malmo FF,1,2
2015-06-04,Djurgarden,Norrkoping,1,1
2015-06-04,Kalmar,Hammarby,2,2
2015-06-04,Goteborg,Elfsborg,1,0
2015-06-06,Hacken,AIK,0,0
2015-06-06,Helsingborg,Atvidabergs,3,0
2015-06-06,Orebro,Halmstad,1,1
2015-06-07,Hammarby,Goteborg,0,1
2015-06-07,Sundsvall,Kalmar,1,1
2015-06-07,Elfsborg,Gefle,5,1
2015-06-07,Malmo FF,Djurgarden,1,1
2015-06-07,Norrkoping,Falkenbergs,2,0
2015-07-04,Atvidabergs,Halmstad,0,0
2015-07-04,Djurgarden,Orebro,2,0
2015-07-04,Norrkoping,Malmo FF,3,1
2015-07-05,Falkenbergs,Elfsborg,2,2
2015-07-05,Hacken,Helsingborg,3,2
2015-07-05,Kalmar,AIK,0,0
2015-07-05,Sundsvall,Goteborg,2,2
2015-07-06,Gefle,Hammarby,1,1
2015-07-11,Atvidabergs,Gefle,1,1
2015-07-11,Halmstad,Kalmar,1,0
2015-07-11,Malmo FF,Orebro,2,2
2015-07-12,Elfsborg,Hacken,1,0
2015-07-12,AIK,Sundsvall,4,1
2015-07-12,Goteborg,Norrkoping,0,0
2015-07-13,Hammarby,Falkenbergs,3,0
2015-07-13,Helsingborg,Djurgarden,0,1
2015-07-18,Kalmar,Falkenbergs,4,0
2015-07-18,Orebro,Malmo FF,1,1
2015-07-18,Sundsvall,Halmstad,0,0
2015-07-19,Norrkoping,Goteborg,2,2
2015-07-19,Helsingborg,AIK,3,1
2015-07-20,Djurgarden,Atvidabergs,0,0
2015-07-20,Hacken,Hammarby,3,3
2015-07-25,Atvidabergs,Helsingborg,1,2
2015-07-25,Hacken,Kalmar,3,0
2015-07-25,Malmo FF,Sundsvall,3,0
2015-07-26,Falkenbergs,Goteborg,1,0
2015-07-26,AIK,Elfsborg,4,2
2015-07-27,Halmstad,Gefle,0,1
2015-07-27,Hammarby,Norrkoping,0,1
2015-07-27,Orebro,Djurgarden,0,1
2015-07-31,Helsingborg,Kalmar,1,2
2015-08-01,Atvidabergs,Malmo FF,2,2
2015-08-01,Djurgarden,Hacken,2,1
2015-08-01,Gefle,Falkenbergs,1,0
2015-08-02,Norrkoping,AIK,1,2
2015-08-02,Elfsborg,Halmstad,2,0
2015-08-02,Goteborg,Orebro,6,0
2015-08-03,Sundsvall,Hammarby,3,0
2015-08-08,Falkenbergs,Helsingborg,2,3
2015-08-08,Hacken,Gefle,1,1
2015-08-09,Malmo FF,Goteborg,2,1
2015-08-09,Orebro,Norrkoping,1,3
2015-08-09,Halmstad,Atvidabergs,0,0
2015-08-09,Hammarby,Elfsborg,0,0
2015-08-10,Kalmar,Sundsvall,0,2
2015-08-10,AIK,Djurgarden,1,0
2015-08-12,Gefle,Elfsborg,2,3
2015-08-15,Malmo FF,Gefle,2,0
2015-08-15,Sundsvall,Orebro,1,0
2015-08-16,AIK,Kalmar,2,1
2015-08-16,Goteborg,Hacken,4,0
2015-08-16,Elfsborg,Djurgarden,2,0
2015-08-17,Falkenbergs,Hammarby,0,1
2015-08-17,Helsingborg,Halmstad,2,0
2015-08-17,Atvidabergs,Norrkoping,1,1
2015-08-22,Hacken,Malmo FF,1,0
2015-08-23,Atvidabergs,Goteborg,0,1
2015-08-23,Gefle,AIK,1,2
2015-08-23,Halmstad,Orebro,2,2
2015-08-23,Kalmar,Elfsborg,0,3
2015-08-24,Norrkoping,Helsingborg,3,2
2015-08-24,Sundsvall,Falkenbergs,0,1
2015-08-24,Djurgarden,Hammarby,2,2
2015-08-28,Hammarby,Kalmar,0,0
2015-08-29,Djurgarden,Halmstad,4,2
2015-08-29,Falkenbergs,Norrkoping,0,1
2015-08-29,Orebro,Hacken,2,0
2015-08-30,AIK,Atvidabergs,1,0
2015-08-30,Goteborg,Gefle,3,0
2015-08-30,Elfsborg,Sundsvall,1,2
2015-08-30,Helsingborg,Malmo FF,0,3
2015-09-11,Kalmar,Norrkoping,1,2
2015-09-12,Falkenbergs,AIK,2,4
2015-09-12,Malmo FF,Elfsborg,1,1
2015-09-13,Hammarby,Orebro,1,2
2015-09-13,Helsingborg,Goteborg,1,2
2015-09-14,Hacken,Halmstad,4,1
2015-09-14,Sundsvall,Atvidabergs,0,1
2015-09-14,Gefle,Djurgarden,2,1
2015-09-18,Halmstad,Falkenbergs,0,1
2015-09-19,AIK,Hacken,2,1
2015-09-20,Atvidabergs,Kalmar,1,1
2015-09-20,Djurgarden,Malmo FF,0,2
2015-09-20,Gefle,Helsingborg,2,1
2015-09-20,Goteborg,Hammarby,1,0
2015-09-20,Norrkoping,Sundsvall,5,1
2015-09-21,Orebro,Elfsborg,4,2
2015-09-23,Hammarby,Gefle,3,0
2015-09-23,Kalmar,Halmstad,1,0
2015-09-23,Malmo FF,Falkenbergs,4,3
2015-09-23,Norrkoping,Djurgarden,4,2
2015-09-23,Sundsvall,AIK,0,2
2015-09-24,Hacken,Atvidabergs,3,0
2015-09-24,Helsingborg,Orebro,0,2
2015-09-24,Elfsborg,Goteborg,1,1
2015-09-26,Halmstad,Malmo FF,0,0
2015-09-27,Falkenbergs,Hacken,1,2
2015-09-27,Hammarby,AIK,1,0
2015-09-27,Gefle,Norrkoping,1,2
2015-09-28,Djurgarden,Helsingborg,2,2
2015-09-28,Elfsborg,Atvidabergs,3,1
2015-09-28,Orebro,Kalmar,2,1
2015-09-28,Goteborg,Sundsvall,3,2
2015-10-02,Atvidabergs,Hammarby,0,3
2015-10-03,Orebro,Falkenbergs,2,1
2015-10-03,Sundsvall,Gefle,2,1
2015-10-04,Goteborg,Halmstad,1,1
2015-10-04,Helsingborg,Elfsborg,2,1
2015-10-04,Kalmar,Djurgarden,0,3
2015-10-04,AIK,Malmo FF,2,1
2015-10-04,Norrkoping,Hacken,3,1
2015-10-17,Malmo FF,Kalmar,3,0
2015-10-18,Halmstad,AIK,0,1
2015-10-18,Falkenbergs,Atvidabergs,6,0
2015-10-18,Hammarby,Helsingborg,1,4
2015-10-19,Djurgarden,Goteborg,2,2
2015-10-19,Gefle,Orebro,2,2
2015-10-19,Hacken,Sundsvall,3,1
2015-10-19,Elfsborg,Norrkoping,3,2
2015-10-24,Falkenbergs,Djurgarden,0,2
2015-10-25,Hammarby,Malmo FF,0,1
2015-10-25,Sundsvall,Helsingborg,2,1
2015-10-25,Hacken,Elfsborg,5,2
2015-10-25,Norrkoping,Halmstad,3,1
2015-10-26,Atvidabergs,Orebro,2,3
2015-10-26,Kalmar,Gefle,3,1
2015-10-26,AIK,Goteborg,1,2
2015-10-31,Djurgarden,Sundsvall,4,2
2015-10-31,Elfsborg,Falkenbergs,4,2
