Round,Date,Home_Team,Away_Team,Unnamed: 4
15.0,2025-07-14,Sirius,Mjallby,
16.0,2025-07-19,Djurgarden,Elfsborg,
16.0,2025-07-19,Oster,Malmo FF,
16.0,2025-07-19,Degerfors,GAIS,
16.0,2025-07-20,Mjallby,AIK,
16.0,2025-07-20,Sirius,Goteborg,
16.0,2025-07-20,Hammarby,IF Brommapojkarna,
16.0,2025-07-20,Halmstad,Hacken,
16.0,2025-07-21,Norrkoping,Varnamo,
17.0,2025-07-26,Brommapojkarna,Malmo FF,
17.0,2025-07-26,GAIS,Halmstads BK,
17.0,2025-07-26,Degerfors,Norrkoping,
17.0,2025-07-27,AIK,Oster,
17.0,2025-07-27,Hacken,Djurgarden,
17.0,2025-07-27,Mjallby,IK Sirius,
17.0,2025-07-27,Varnamo,Hammarby,
17.0,2025-07-28,Elfsborg,Goteborg,
18.0,2025-08-02,Brommapojkarna,Norrkoping,
18.0,2025-08-02,Varnamo,GAIS,
18.0,2025-08-03,Djurgarden,Halmstad,
18.0,2025-08-03,Hacken,Elfsborg,
18.0,2025-08-03,Sirius,Oster,
18.0,2025-08-04,Goteborg,Degerfors,
19.0,2025-08-09,Malmo FF,Mjallby,
19.0,2025-08-09,Halmstad,Sirius,
19.0,2025-08-10,AIK,Djurgarden,
19.0,2025-08-10,Degerfors,Hacken,
19.0,2025-08-10,Oster,IF Brommapojkarna,
19.0,2025-08-10,Norrkoping,Hammarby,
19.0,2025-08-11,Elfsborg,Varnamo,
19.0,2025-08-11,GAIS,Goteborg,
20.0,2025-08-16,Halmstad,Malmo FF,
20.0,2025-08-16,Norrkoping,Elfsborg,
20.0,2025-08-17,Brommapojkarna,Sirius,
20.0,2025-08-17,Goteborg,AIK,
20.0,2025-08-17,Hammarby,GAIS,
20.0,2025-08-17,Hacken,Oster,
20.0,2025-08-17,Mjallby,Djurgarden,
20.0,2025-08-18,Varnamo,Degerfors,
21.0,2025-08-23,Malmo FF,Goteborg,
21.0,2025-08-24,Djurgarden,Brommapojkarna,
21.0,2025-08-24,Sirius,Hammarby,
21.0,2025-08-24,Elfsborg,Halmstad,
21.0,2025-08-24,Degerfors,AIK,
21.0,2025-08-24,Varnamo,Hacken,
21.0,2025-08-25,GAIS,Mjallby,
21.0,2025-08-25,Oster,Norrkoping,
22.0,2025-08-30,Brommapojkarna,Elfsborg,
22.0,2025-08-30,Goteborg,Varnamo,
22.0,2025-08-30,Mjallby,Halmstad,
22.0,2025-08-31,AIK,IK Sirius,
22.0,2025-08-31,Malmo FF,Degerfors,
22.0,2025-08-31,Norrkoping,Djurgarden,
22.0,2025-08-31,Hammarby,Oster,
22.0,2025-08-31,GAIS,Hacken,
23.0,2025-09-13,Degerfors,Mjallby,
23.0,2025-09-13,Halmstad,Norrkoping,
23.0,2025-09-14,Djurgarden,Hammarby,
23.0,2025-09-14,Oster,Varnamo,
23.0,2025-09-14,Elfsborg,Malmo FF,
23.0,2025-09-14,Sirius,GAIS,
23.0,2025-09-15,AIK,IF Brommapojkarna,
23.0,2025-09-15,Hacken,Goteborg,
24.0,2025-09-20,GAIS,IF Elfsborg,
24.0,2025-09-20,Malmo FF,Djurgarden,
24.0,2025-09-20,Mjallby,Oster,
24.0,2025-09-21,Hammarby,Hacken,
24.0,2025-09-21,Goteborg,IF Brommapojkarna,
24.0,2025-09-21,Sirius,Degerfors,
24.0,2025-09-22,Varnamo,Halmstad,
24.0,2025-09-22,Norrkoping,AIK,
25.0,2025-09-27,Elfsborg,Degerfors,
25.0,2025-09-27,Hacken,Norrkoping,
25.0,2025-09-28,Brommapojkarna,Mjallby,
25.0,2025-09-28,Halmstad,Hammarby,
25.0,2025-09-28,AIK,GAIS,
25.0,2025-09-28,Malmo FF,Varnamo,
25.0,2025-09-29,Djurgarden,Sirius,
25.0,2025-09-29,Oster,Goteborg,
26.0,2025-10-04,Oster,Halmstad,
26.0,2025-10-04,Degerfors,Djurgarden,
26.0,2025-10-04,GAIS,Norrkoping,
26.0,2025-10-04,Mjallby,IF Elfsborg,
26.0,2025-10-05,AIK,Varnamo,
26.0,2025-10-05,Goteborg,Hammarby,
26.0,2025-10-05,Brommapojkarna,Hacken,
26.0,2025-10-05,Sirius,Malmo FF,
27.0,2025-10-19,Hammarby,AIK,
27.0,2025-10-19,Elfsborg,Oster,
27.0,2025-10-19,GAIS,Djurgarden,
27.0,2025-10-19,Goteborg,Mjallby,
27.0,2025-10-19,Hacken,Sirius,
27.0,2025-10-19,Norrkoping,Malmo FF,
27.0,2025-10-19,Degerfors,Halmstad,
27.0,2025-10-19,Varnamo,Brommapojkarna,
28.0,2025-10-26,AIK,Hacken,
28.0,2025-10-26,Djurgarden,Varnamo,
28.0,2025-10-26,Brommapojkarna,GAIS,
28.0,2025-10-26,Oster,Degerfors,
28.0,2025-10-26,Malmo FF,Hammarby,
28.0,2025-10-26,Mjallby,Norrkoping,
28.0,2025-10-26,Sirius,Elfsborg,
28.0,2025-10-26,Halmstad,Goteborg,
29.0,2025-11-02,Djurgarden,Goteborg,
29.0,2025-11-02,Elfsborg,AIK,
29.0,2025-11-02,GAIS,Oster,
29.0,2025-11-02,Hacken,Malmo FF,
29.0,2025-11-02,Norrkoping,Sirius,
29.0,2025-11-02,Halmstad,Brommapojkarna,
29.0,2025-11-02,Degerfors,Hammarby,
29.0,2025-11-02,Varnamo,Mjallby,
30.0,2025-11-09,AIK,Halmstads BK,
30.0,2025-11-09,Hammarby,IF Elfsborg,
30.0,2025-11-09,Brommapojkarna,Degerfors,
30.0,2025-11-09,Goteborg,Norrkoping,
30.0,2025-11-09,Oster,Djurgarden,
30.0,2025-11-09,Malmo FF,GAIS,
30.0,2025-11-09,Mjallby,Hacken,
30.0,2025-11-09,Sirius,Varnamo,Djurgårdens IF
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
