,home_games,home_goals_scored,home_goals_conceded,home_points,home_goals_avg,home_goals_conceded_avg,away_games,away_goals_scored,away_goals_conceded,away_points,away_goals_avg,away_goals_conceded_avg,total_games,avg_goals_scored,avg_goals_conceded,avg_points,goal_difference,league_avg,attack_strength,defense_strength,home_attack_strength,away_attack_strength,home_defense_strength,away_defense_strength,consistency,strength_of_schedule,total_goals_scored,total_goals_conceded,recent_form
Timrå IK,34.0,2.368,1.437,2.145,2.368,1.437,36.0,2.314,2.82,1.19,2.314,2.82,70.0,2.34,2.148,1.654,0.192,2.678,0.874,0.802,0.884,0.864,0.537,1.053,0.951,0.993,163.801,150.394,1.8
Brynäs IF,34.0,3.096,3.66,1.226,3.096,3.66,36.0,2.491,2.544,1.302,2.491,2.544,70.0,2.785,3.086,1.265,-0.301,2.678,1.04,1.152,1.156,0.93,1.367,0.95,0.847,0.997,194.968,216.046,1.2
Skellefteå AIK,34.0,3.651,2.604,1.866,3.651,2.604,36.0,3.167,2.262,1.82,3.167,2.262,70.0,3.402,2.428,1.842,0.973,2.678,1.27,0.907,1.363,1.182,0.972,0.845,0.898,0.968,238.127,169.988,1.8
Frölunda HC,35.0,2.896,1.124,2.591,2.896,1.124,34.0,3.44,1.728,2.121,3.44,1.728,69.0,3.164,1.422,2.359,1.742,2.678,1.181,0.531,1.081,1.284,0.42,0.645,0.712,0.976,218.305,98.099,2.4
Linköping HC,35.0,1.6,3.26,0.5,1.6,3.26,35.0,2.677,3.162,1.257,2.677,3.162,70.0,2.139,3.211,0.878,-1.073,2.678,0.799,1.199,0.597,1.0,1.217,1.181,1.234,1.008,149.708,224.786,0.0
Växjö Lakers HC,34.0,3.171,2.192,2.066,3.171,2.192,34.0,2.731,2.744,1.507,2.731,2.744,68.0,2.951,2.468,1.786,0.483,2.678,1.102,0.921,1.184,1.02,0.818,1.025,0.95,0.984,200.651,167.813,1.8
Luleå HF,34.0,2.562,2.086,1.571,2.562,2.086,36.0,2.204,3.308,0.971,2.204,3.308,70.0,2.378,2.714,1.262,-0.336,2.678,0.888,1.013,0.957,0.823,0.779,1.235,0.872,1.003,166.467,190.0,0.6
Djurgårdens IF,9.0,3.501,3.966,2.008,3.501,3.966,8.0,3.001,3.074,1.931,3.001,3.074,17.0,3.266,3.546,1.972,-0.281,2.678,1.219,1.324,1.307,1.121,1.481,1.148,0.761,0.983,55.516,60.287,2.4
Färjestad BK,36.0,2.793,2.702,1.521,2.793,2.702,33.0,2.239,1.782,1.678,2.239,1.782,69.0,2.528,2.262,1.596,0.267,2.678,0.944,0.845,1.043,0.836,1.009,0.665,0.91,0.994,174.453,156.063,1.8
MoDo Hockey,26.0,2.953,3.131,1.247,2.953,3.131,26.0,2.471,3.257,1.114,2.471,3.257,52.0,2.712,3.194,1.18,-0.482,2.678,1.013,1.193,1.103,0.923,1.169,1.216,1.331,0.986,141.014,166.087,1.2
HV 71,35.0,2.226,2.92,1.045,2.226,2.92,35.0,2.371,3.522,0.817,2.371,3.522,70.0,2.299,3.221,0.931,-0.922,2.678,0.858,1.203,0.831,0.885,1.09,1.315,1.394,1.005,160.906,225.478,1.2
IF Malmö Redhawks,36.0,2.564,2.639,1.73,2.564,2.639,33.0,2.014,4.13,0.524,2.014,4.13,69.0,2.301,3.352,1.154,-1.051,2.678,0.859,1.252,0.957,0.752,0.985,1.542,1.115,0.997,158.754,231.285,1.2
Örebro HK,35.0,3.301,2.674,1.613,3.301,2.674,35.0,2.427,3.277,0.754,2.427,3.277,70.0,2.864,2.975,1.184,-0.111,2.678,1.069,1.111,1.233,0.906,0.998,1.223,1.198,0.989,200.495,208.27,1.2
Leksands IF,36.0,2.385,2.425,1.492,2.385,2.425,34.0,1.728,3.112,0.438,1.728,3.112,70.0,2.066,2.759,0.98,-0.693,2.678,0.771,1.03,0.891,0.645,0.905,1.162,1.234,1.008,144.622,193.107,1.2
Rögle BK,34.0,3.713,1.739,2.549,3.713,1.739,36.0,2.568,2.188,1.969,2.568,2.188,70.0,3.124,1.97,2.251,1.154,2.678,1.166,0.735,1.386,0.959,0.649,0.817,0.872,0.973,218.676,137.881,2.4
